Name,Symbol,Price,Shares,MarketValue,ResolveStatus,ResolvedSymbol,ResolveSource,ResolveScore,ResolveReason,TopCandidatesJSON,WasOverridden,OverrideSymbol,SearchVariantsJSON,ApiLatencyMs,RunId,ResolverVersion,Name_prev,Name_new,Name_source,Name_confidence,Exchange_prev,Exchange_new,Exchange_source,Exchange_confidence,Currency_prev,Currency_new,Currency_source,Currency_confidence,Country_prev,Country_new,Country_source,Country_confidence,AssetType_prev,AssetType_new,AssetType_source,AssetType_confidence,ISIN_prev,ISIN_new,ISIN_source,ISIN_confidence,FIGI_prev,FIGI_new,FIGI_source,FIGI_confidence,MIC_prev,MIC_new,MIC_source,MIC_confidence,CIK_prev,CIK_new,CIK_source,CIK_confidence,Sector_prev,Sector_new,Sector_source,Sector_confidence,Industry_prev,Industry_new,Industry_source,Industry_confidence,LastPrice_prev,LastPrice_new,LastPrice_source,LastPrice_confidence,PriceAsOf_prev,PriceAsOf_new,PriceAsOf_source,PriceAsOf_confidence
Alphabet Inc.,GOOGL,140.0,10.0,1400.0,FILLED,GOOGL,Finnhub,1.00,top>=0.90:1.00,"[{""symbol"": ""GOOGL"", ""name"": ""Alphabet Inc"", ""type"": ""Common Stock"", ""score"": 1.0, ""source"": ""Finnhub""}, {""symbol"": ""GOOG"", ""name"": ""Alphabet Inc. Class C Capital Stock"", ""type"": ""Common Stock"", ""score"": 0.14, ""source"": ""Polygon""}, {""symbol"": ""GOOX"", ""name"": ""T-Rex 2X Long Alphabet Daily Target ETF"", ""type"": ""ETF"", ""score"": 0.0, ""source"": ""Polygon""}]",False,,"[""alphabet inc"", ""alphabet""]",1,b774eb23-a16f-46e7-be53-ab7b499cabc4,2025.11.03,,,,,,NASDAQ NMS - GLOBAL MARKET,Finnhub,0.95,,USD,Finnhub,0.95,,US,Finnhub,0.95,,Common Stock,Finnhub,0.95,,,,,,,,,,,,,,,,,,Media,Finnhub,0.95,,,,,,283.72,Finnhub,0.95,,1762203600,Finnhub,0.95
Berkshire Hathaway Inc.,BRK.A,360.0,2.0,720.0,FILLED,BRK.A,Finnhub,1.00,single_candidate:1.00,"[{""symbol"": ""BRK.A"", ""name"": ""Berkshire Hathaway Inc"", ""type"": ""Common Stock"", ""score"": 1.0, ""source"": ""Finnhub""}]",False,,"[""berkshire hathaway inc"", ""berkshire hathaway"", ""bhi""]",1,b774eb23-a16f-46e7-be53-ab7b499cabc4,2025.11.03,,,,,,"NEW YORK STOCK EXCHANGE, INC.",Finnhub,0.95,,USD,Finnhub,0.95,,US,Finnhub,0.95,,Common Stock,Finnhub,0.95,,,,,,,,,,,,,,,,,,Financial Services,Finnhub,0.95,,,,,,712170.14,Finnhub,0.95,,1762203600,Finnhub,0.95
Royal Bank,RY,95.0,10.0,950.0,FILLED,RY,Polygon2,1.00,top>=0.90:1.00,"[{""symbol"": ""RY"", ""name"": ""Royal Bank of Canada"", ""type"": ""Common Stock"", ""score"": 1.0, ""source"": ""Polygon2""}, {""symbol"": ""300033.SZ"", ""name"": ""Hithink RoyalFlush Information Network Co Ltd"", ""type"": ""Common Stock"", ""score"": 0.0, ""source"": ""Finnhub""}, {""symbol"": ""BEVFF"", ""name"": ""DIVERSIFIED ROYALTY CORP"", ""type"": ""Common Stock"", ""score"": 0.0, ""source"": ""Polygon""}]",False,,"[""royal bank"", ""royal"", ""royal bank of canada""]",10,b774eb23-a16f-46e7-be53-ab7b499cabc4,2025.11.03,,,,,,TORONTO STOCK EXCHANGE,Finnhub,0.95,,CAD,Finnhub,0.95,,CA,Finnhub,0.95,,Common Stock,Finnhub,0.95,,,,,,,,,,,,,,,,,,Banking,Finnhub,0.95,,,,,,147.41,Finnhub,0.95,,1762203600,Finnhub,0.95
Shopify,SHOP,65.0,15.0,975.0,FILLED,SHOP,Finnhub,0.91,single_candidate:0.91,"[{""symbol"": ""SHOP"", ""name"": ""Shopify Inc"", ""type"": ""Common Stock"", ""score"": 0.91, ""source"": ""Finnhub""}]",False,,"[""shopify""]",1,b774eb23-a16f-46e7-be53-ab7b499cabc4,2025.11.03,,,,,,"NEW YORK STOCK EXCHANGE, INC.",Finnhub,0.95,,USD,Finnhub,0.95,,CA,Finnhub,0.95,,Common Stock,Finnhub,0.95,,,,,,,,,,,,,,,,,,Technology,Finnhub,0.95,,,,,,172.94,Finnhub,0.95,,1762203600,Finnhub,0.95
Shell,RYDAF,65.0,10.0,650.0,FILLED,RYDAF,Polygon,0.91,top>=0.90:0.91,"[{""symbol"": ""RYDAF"", ""name"": ""SHELL PLC"", ""type"": ""Common Stock"", ""score"": 0.91, ""source"": ""Polygon""}, {""symbol"": ""SHEH"", ""name"": ""Shell plc ADRhedged"", ""type"": ""Common Stock"", ""score"": 0.17, ""source"": ""Polygon""}, {""symbol"": ""SHLPH.PM"", ""name"": ""Shell Pilipinas Corp"", ""type"": ""Common Stock"", ""score"": 0.17, ""source"": ""Finnhub""}]",False,,"[""shell""]",1,b774eb23-a16f-46e7-be53-ab7b499cabc4,2025.11.03,,,,,,LONDON STOCK EXCHANGE,Finnhub,0.95,,USD,Finnhub,0.95,,GB,Finnhub,0.95,,Common Stock,Finnhub,0.95,,,,,,,,,,,,,,,,,,Energy,Finnhub,0.95,,,,,,36.71,Finnhub,0.95,,1761868800,Finnhub,0.95
Sony,SNEJF,85.0,8.0,680.0,FILLED,SNEJF,Polygon2,1.00,top>=0.90:1.00,"[{""symbol"": ""SNEJF"", ""name"": ""SONY GROUP CORP"", ""type"": ""Common Stock"", ""score"": 1.0, ""source"": ""Polygon2""}, {""symbol"": ""8729.T"", ""name"": ""Sony Financial Group Inc"", ""type"": ""Common Stock"", ""score"": 0.54, ""source"": ""Finnhub2""}, {""symbol"": ""005090.KS"", ""name"": ""SGC Energy Co Ltd"", ""type"": ""Common Stock"", ""score"": 0.0, ""source"": ""Finnhub2""}]",False,,"[""sony""]",2,b774eb23-a16f-46e7-be53-ab7b499cabc4,2025.11.03,,,,,,TOKYO STOCK EXCHANGE-TOKYO PRO MARKET,Finnhub,0.95,,JPY,Finnhub,0.95,,JP,Finnhub,0.95,,Common Stock,Finnhub,0.95,,,,,,,,,,,,,,,,,,Consumer products,Finnhub,0.95,,,,,,27.906,Finnhub,0.95,,1761868800,Finnhub,0.95
